# Blackjack High-Low Simulation Results with Player Edge Analysis
# Deck Count: 2
# Penetration: 1.0 deck penetration
"# Total Shoes: 1,000,000"
"# Total Hands: 9,984,465"
# Fixed Bet Amount: $10 per hand
# Generated: 2025-05-25 14:46:55

True Count,Frequency,Percentage,Player Edge,Total Profit,Total Wagered
-10,14138,0.141600,-0.047938,-7740.00,161460.00
-9,26213,0.262538,-0.054847,-16310.00,297370.00
-8,43272,0.433393,-0.037890,-18545.00,489440.00
-7,74091,0.742063,-0.039572,-33070.00,835700.00
-6,143596,1.438194,-0.036878,-59515.00,1613840.00
-5,232468,2.328297,-0.032250,-83870.00,2600610.00
-4,387044,3.876462,-0.031591,-136205.00,4311510.00
-3,604361,6.053013,-0.024083,-161610.00,6710570.00
-2,1016781,10.183630,-0.021544,-242270.00,11245470.00
-1,1645636,16.481965,-0.014681,-266270.00,18137470.00
0,2039769,20.429427,-0.012697,-284505.00,22408020.00
1,1502539,15.048768,-0.009664,-158980.00,16450530.00
2,885895,8.872734,-0.005448,-52660.00,9665280.00
3,555176,5.560398,-0.000473,-2855.00,6031500.00
4,344231,3.447666,0.002539,9470.00,3729910.00
5,203646,2.039629,0.004317,9490.00,2198520.00
6,128358,1.285577,0.010648,14720.00,1382380.00
7,65117,0.652183,0.014186,9895.00,697510.00
8,38200,0.382594,0.016719,6840.00,409120.00
9,22430,0.224649,0.010315,2470.00,239450.00
10,11504,0.115219,0.032990,4040.00,122460.00
