# Blackjack High-Low Simulation Results with Player Edge Analysis
# Deck Count: 3
# Penetration: No penetration (all cards played)
"# Total Shoes: 1,000,000"
"# Total Hands: 26,253,784"
# Fixed Bet Amount: $10 per hand
# Generated: 2025-05-25 14:51:49

True Count,Frequency,Percentage,Player Edge,Total Profit,Total Wagered
-10,298092,1.135425,-0.049936,-169710.00,3398570.00
-9,326560,1.243859,-0.049515,-183425.00,3704420.00
-8,330150,1.257533,-0.045111,-168385.00,3732720.00
-7,412812,1.572390,-0.039870,-185350.00,4648900.00
-6,605405,2.305972,-0.038263,-259765.00,6788870.00
-5,824281,3.139666,-0.031839,-293295.00,9211890.00
-4,1109908,4.227612,-0.027620,-341335.00,12358120.00
-3,1552957,5.915174,-0.023502,-405015.00,17233310.00
-2,2235940,8.516639,-0.021401,-529135.00,24725140.00
-1,3103680,11.821839,-0.017459,-597280.00,34210510.00
0,5344054,20.355367,-0.012525,-735040.00,58685890.00
1,2869266,10.928962,-0.008654,-271740.00,31402000.00
2,2108371,8.030732,-0.005268,-121135.00,22994690.00
3,1464823,5.579474,-0.000201,-3205.00,15917400.00
4,1047593,3.990255,0.004065,46095.00,11338540.00
5,784077,2.986529,0.006505,55010.00,8456050.00
6,577442,2.199462,0.008800,54630.00,6207940.00
7,390171,1.486151,0.013722,57350.00,4179280.00
8,307209,1.170151,0.013644,44785.00,3282320.00
9,295869,1.126958,0.019243,60535.00,3145740.00
10,265124,1.009851,0.022934,64475.00,2811340.00
